Lake,,,,Rating
,,,,Lake
Elevation,Area,Volume,,Houston
(feet,(acres),(acre-feet),,Source
22.89,1776.77,8686.6,,
22.9,1780.54,8704.39,,
22.91,1784.3,8722.21,,
22.92,1788.12,8740.08,,
22.93,1792.05,8757.98,,
22.94,1796.01,8775.92,,
22.95,1800.15,8793.9,,
22.96,1804.16,8811.92,,
22.97,1808.07,8829.98,,
22.98,1811.98,8848.08,,
22.99,1815.75,8866.22,,
23,1819.47,8884.4,,
23.01,1823.24,8902.61,,
23.02,1827.08,8920.86,,
23.03,1830.97,8939.15,,
23.04,1834.95,8957.48,,
23.05,1838.97,8975.85,,
23.06,1842.94,8994.26,,
23.07,1846.75,9012.71,,
23.08,1850.5,9031.19,,
23.09,1854.33,9049.72,,
23.1,1858.27,9068.28,,
23.11,1862.07,9086.88,,
23.12,1865.93,9105.53,,
23.13,1869.78,9124.2,,
23.14,1873.52,9142.92,,
23.15,1877.24,9161.67,,
23.16,1880.93,9180.46,,
23.17,1884.63,9199.29,,
23.18,1888.32,9218.16,,
23.19,1891.97,9237.06,,
23.2,1895.64,9256,,
23.21,1899.36,9274.97,,
23.22,1903.23,9293.98,,
23.23,1907.04,9313.03,,
23.24,1910.91,9332.12,,
23.25,1914.79,9351.25,,
23.26,1918.63,9370.42,,
23.27,1922.45,9389.63,,
23.28,1926.36,9408.87,,
23.29,1930.41,9428.16,,
23.3,1934.52,9447.48,,
23.31,1938.74,9466.84,,
23.32,1943.11,9486.25,,
23.33,1947.61,9505.71,,
23.34,1952.23,9525.21,,
23.35,1956.89,9544.75,,
23.36,1961.55,9564.34,,
23.37,1965.96,9583.98,,
23.38,1970.18,9603.66,,
23.39,1974.32,9623.38,,
23.4,1978.38,9643.15,,
23.41,1982.43,9662.95,,
23.42,1986.52,9682.8,,
23.43,1990.64,9702.68,,
23.44,1994.77,9722.61,,
23.45,1998.93,9742.58,,
23.46,2003.18,9762.59,,
23.47,2007.42,9782.64,,
23.48,2011.57,9802.74,,
23.49,2015.66,9822.87,,
23.5,2019.74,9843.05,,
23.51,2023.85,9863.27,,
23.52,2027.96,9883.53,,
23.53,2032.04,9903.83,,
23.54,2036.04,9924.17,,
23.55,2040.06,9944.55,,
23.56,2044.09,9964.97,,
23.57,2048.17,9985.43,,
23.58,2052.27,10005.93,,
23.59,2056.43,10026.48,,
23.6,2060.61,10047.06,,
23.61,2064.89,10067.69,,
23.62,2069.3,10088.36,,
23.63,2073.81,10109.07,,
23.64,2078.11,10129.83,,
23.65,2082.25,10150.64,,
23.66,2086.32,10171.48,,
23.67,2090.42,10192.36,,
23.68,2094.54,10213.29,,
23.69,2098.65,10234.25,,
23.7,2102.75,10255.26,,
23.71,2106.82,10276.31,,
23.72,2110.9,10297.4,,
23.73,2114.97,10318.52,,
23.74,2119.03,10339.7,,
23.75,2123.12,10360.91,,
23.76,2127.28,10382.16,,
23.77,2131.49,10403.45,,
23.78,2135.86,10424.79,,
23.79,2140.25,10446.17,,
23.8,2144.75,10467.59,,
23.81,2149.06,10489.06,,
23.82,2153.33,10510.57,,
23.83,2157.59,10532.13,,
23.84,2161.84,10553.73,,
23.85,2165.98,10575.37,,
23.86,2170.05,10597.05,,
23.87,2174.05,10618.77,,
23.88,2178.11,10640.53,,
23.89,2182.16,10662.33,,
